time(ms);VSS(km/h)
0;0.0
0;0.0
17;0.0
37;0.0
54;0.0
71;0.0
88;0.0
106;0.0
120;0.0
135;0.0
149;0.0
166;0.0
182;0.0
196;0.0
210;0.0
227;0.0
245;0.0
259;0.0
275;0.0
289;0.0
307;0.0
320;0.0
337;0.0
355;0.0
369;0.0
389;0.0
406;0.0
422;0.0
438;0.0
455;0.0
470;0.0
484;0.0
500;0.0
517;0.0
536;0.0
550;0.0
566;0.0
583;0.0
600;0.0
617;0.0
636;0.0
650;0.0
667;0.0
687;0.0
705;0.0
722;0.0
739;0.0
756;0.0
776;0.0
794;0.0
809;0.0
826;0.0
847;0.0
867;0.0
885;0.0
900;0.0
916;0.0
931;0.0
948;0.0
965;0.0
980;0.0
995;0.0
1011;0.0
1027;0.0
1043;0.0
1060;0.0
1075;0.0
1096;0.0
1110;0.0
1124;0.0
1139;0.0
1156;0.0
1171;0.0
1188;0.0
1206;0.0
1221;0.0
1236;0.0
1253;0.0
1267;0.0
1287;0.0
1307;0.0
1327;0.0
1347;0.0
1362;0.0
1379;0.0
1395;0.0
1411;0.0
1426;0.0
1440;0.0
1457;0.0
1473;0.0
1489;0.0
1506;0.0
1520;0.0
1536;0.0
1552;0.0
1572;0.0
1586;0.0
1603;0.0
1618;0.0
1636;0.0
1651;0.0
1666;0.0
1683;0.0
1697;0.0
1715;0.0
1729;0.0
1747;0.0
1762;0.0
1777;0.0
1794;0.0
1809;0.0
1824;0.0
1840;0.0
1856;0.0
1871;0.0
1885;0.0
1902;0.0
1917;0.0
1937;0.0
1954;0.0
1969;0.0
1987;0.0
2002;0.0
2020;0.0
2037;0.0
2054;0.0
2069;0.0
2086;0.0
2104;0.0
2119;0.0
2136;0.0
2158;0.0
2177;0.0
2194;0.0
2209;0.0
2225;0.0
2241;0.0
2255;0.0
2269;0.0
2286;0.0
2304;0.0
2319;0.0
2335;0.0
2350;0.0
2368;0.0
2385;0.0
2400;0.0
2417;0.0
2442;0.0
2457;0.0
2474;0.0
2489;0.0
2505;0.0
2520;0.0
2535;0.0
2551;0.0
2565;0.0
2579;0.0
2597;0.0
2610;0.0
2627;0.0
2639;0.0
2655;0.0
2669;0.0
